frame.number	frame.protocols	udp.srcport	udp.dstport	stun.type	stun.type.method	stun.type.class	stun.channel	stun.length
84	eth:ethertype:ip:udp:stun:data	40003	38123	0x0017	0x0007	0x0001		80
85	eth:ethertype:ip:udp:stun:data	40003	38123	0x0017	0x0007	0x0001		112
86	eth:ethertype:ip:udp:stun:data	38123	40003	0x0016	0x0006	0x0001		80
87	eth:ethertype:ip:udp:stun:data	38123	40003	0x0016	0x0006	0x0001		116
88	eth:ethertype:ip:udp:stun:data	40003	38123	0x0017	0x0007	0x0001		112
89	eth:ethertype:ip:udp:stun:data	38123	40003	0x0016	0x0006	0x0001		80
90	eth:ethertype:ip:udp:stun:data	38123	40003	0x0016	0x0006	0x0001		116
91	eth:ethertype:ip:udp:stun:data	40003	38123	0x0017	0x0007	0x0001		80
92	eth:ethertype:ip:udp:stun:data	40003	38123	0x0017	0x0007	0x0001		112
93	eth:ethertype:ip:udp:stun:data	40003	38123	0x0017	0x0007	0x0001		80
94	eth:ethertype:ip:udp:stun	38123	40003	0x0008	0x0008	0x0000		120
95	eth:ethertype:ip:udp:stun:data	38123	40003	0x0016	0x0006	0x0001		80
96	eth:ethertype:ip:udp:stun	40003	38123	0x0108	0x0008	0x0010		24
97	eth:ethertype:ip:udp:stun:data	38123	40003	0x0016	0x0006	0x0001		112
98	eth:ethertype:ip:udp:stun:data	40003	38123	0x0017	0x0007	0x0001		112
99	eth:ethertype:ip:udp:stun:data	38123	40003	0x0016	0x0006	0x0001		112
100	eth:ethertype:ip:udp:stun:data	38123	40003	0x0016	0x0006	0x0001		80
101	eth:ethertype:ip:udp:stun:data	38123	40003	0x0016	0x0006	0x0001		112
102	eth:ethertype:ip:udp:stun:data	40003	38123	0x0017	0x0007	0x0001		40
103	eth:ethertype:ip:udp:stun:data	40003	38123	0x0017	0x0007	0x0001		40
104	eth:ethertype:ip:udp:stun	38123	40003	0x0009	0x0009	0x0000		128
105	eth:ethertype:ip:udp:stun:data	38123	40003	0x0016	0x0006	0x0001		68
